Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	emeraldinsight:2e386820_7216_4455_9342_68bb65d29df0
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Section_Type|Access_Type|Access_Method|YOP
Exceptions	3031: Usage not ready for requested dates (No usage data after Jan 2024 is available)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:09+00:00
Created_By	LibLynx LLC for Emerald Insight

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Adapting to Environmental Challenges: New Research in Strategy and International Business	Emerald Insight		Emerald Insight	10.1108/9781839824760		978-1-83982-476-0				Book	Chapter	2020	Controlled	Regular	Total_Item_Investigations	1	1	0
Adapting to Environmental Challenges: New Research in Strategy and International Business	Emerald Insight		Emerald Insight	10.1108/9781839824760		978-1-83982-476-0				Book	Chapter	2020	Controlled	Regular	Unique_Item_Investigations	1	1	0
Adapting to Environmental Challenges: New Research in Strategy and International Business	Emerald Insight		Emerald Insight	10.1108/9781839824760		978-1-83982-476-0				Book	Chapter	2020	Controlled	Regular	No_License	1	1	0
Adapting to Environmental Challenges: New Research in Strategy and International Business	Emerald Insight		Emerald Insight	10.1108/9781839824760		978-1-83982-476-0				Book		2020	Controlled	Regular	Unique_Title_Investigations	1	1	0
Advances in Mental Health and Intellectual Disabilities	Emerald Insight		Emerald Insight	10.1108/AMHID			2044-1282	2044-1282		Journal	Article	2011	Controlled	Regular	Total_Item_Investigations	2	2	0
Advances in Mental Health and Intellectual Disabilities	Emerald Insight		Emerald Insight	10.1108/AMHID			2044-1282	2044-1282		Journal	Article	2011	Controlled	Regular	Unique_Item_Investigations	1	1	0
Advances in Mental Health and Intellectual Disabilities	Emerald Insight		Emerald Insight	10.1108/AMHID			2044-1282	2044-1282		Journal	Article	2011	Controlled	Regular	Total_Item_Requests	2	2	0
Advances in Mental Health and Intellectual Disabilities	Emerald Insight		Emerald Insight	10.1108/AMHID			2044-1282	2044-1282		Journal	Article	2011	Controlled	Regular	Unique_Item_Requests	1	1	0
Aircraft Engineering and Aerospace Technology	Emerald Insight		Emerald Insight	10.1108/AEAT			1748-8842	1748-8842		Journal	Article	2021	Controlled	Regular	Total_Item_Investigations	1	1	0
Aircraft Engineering and Aerospace Technology	Emerald Insight		Emerald Insight	10.1108/AEAT			1748-8842	1748-8842		Journal	Article	2021	Controlled	Regular	Unique_Item_Investigations	1	1	0
Aircraft Engineering and Aerospace Technology	Emerald Insight		Emerald Insight	10.1108/AEAT			1748-8842	1748-8842		Journal	Article	2021	Controlled	Regular	No_License	2	2	0
Artificial Intelligence and Global Security	Emerald Insight		Emerald Insight	10.1108/9781789738117		978-1-78973-811-7				Book	Chapter	2020	Controlled	Regular	Total_Item_Investigations	1	1	0
Artificial Intelligence and Global Security	Emerald Insight		Emerald Insight	10.1108/9781789738117		978-1-78973-811-7				Book	Chapter	2020	Controlled	Regular	Unique_Item_Investigations	1	1	0
Artificial Intelligence and Global Security	Emerald Insight		Emerald Insight	10.1108/9781789738117		978-1-78973-811-7				Book	Chapter	2020	Controlled	Regular	Total_Item_Requests	1	1	0
Artificial Intelligence and Global Security	Emerald Insight		Emerald Insight	10.1108/9781789738117		978-1-78973-811-7				Book	Chapter	2020	Controlled	Regular	Unique_Item_Requests	1	1	0
Artificial Intelligence and Global Security	Emerald Insight		Emerald Insight	10.1108/9781789738117		978-1-78973-811-7				Book		2020	Controlled	Regular	Unique_Title_Investigations	1	1	0
Artificial Intelligence and Global Security	Emerald Insight		Emerald Insight	10.1108/9781789738117		978-1-78973-811-7				Book		2020	Controlled	Regular	Unique_Title_Requests	1	1	0
Benchmarking for Quality Management & Technology	Emerald Insight		Emerald Insight	10.1108/bqmt			1351-3036			Journal	Article	1996	Controlled	Regular	Total_Item_Investigations	1	1	0
Benchmarking for Quality Management & Technology	Emerald Insight		Emerald Insight	10.1108/bqmt			1351-3036			Journal	Article	1996	Controlled	Regular	Unique_Item_Investigations	1	1	0
Benchmarking for Quality Management & Technology	Emerald Insight		Emerald Insight	10.1108/bqmt			1351-3036			Journal	Article	1996	Controlled	Regular	No_License	1	1	0
Benchmarking: An International Journal	Emerald Insight		Emerald Insight	10.1108/BIJ			1463-5771			Journal	Article	2020	Controlled	Regular	Total_Item_Investigations	1	1	0
Benchmarking: An International Journal	Emerald Insight		Emerald Insight	10.1108/BIJ			1463-5771			Journal	Article	2020	Controlled	Regular	Unique_Item_Investigations	1	1	0
Benchmarking: An International Journal	Emerald Insight		Emerald Insight	10.1108/BIJ			1463-5771			Journal	Article	2020	Controlled	Regular	No_License	1	1	0
Benchmarking: An International Journal	Emerald Insight		Emerald Insight	10.1108/BIJ			1463-5771			Journal	Article	2021	Controlled	Regular	Total_Item_Investigations	3	3	0
Benchmarking: An International Journal	Emerald Insight		Emerald Insight	10.1108/BIJ			1463-5771			Journal	Article	2021	Controlled	Regular	Unique_Item_Investigations	2	2	0
Benchmarking: An International Journal	Emerald Insight		Emerald Insight	10.1108/BIJ			1463-5771			Journal	Article	2021	Controlled	Regular	No_License	3	3	0
Career Development International	Emerald Insight		Emerald Insight	10.1108/CDI			1362-0436			Journal	Article	2012	Controlled	Regular	Total_Item_Investigations	1	1	0
Career Development International	Emerald Insight		Emerald Insight	10.1108/CDI			1362-0436			Journal	Article	2012	Controlled	Regular	Unique_Item_Investigations	1	1	0
Career Development International	Emerald Insight		Emerald Insight	10.1108/CDI			1362-0436			Journal	Article	2012	Controlled	Regular	No_License	1	1	0
Career Development International	Emerald Insight		Emerald Insight	10.1108/CDI			1362-0436			Journal	Article	2015	Controlled	Regular	Total_Item_Investigations	1	1	0
Career Development International	Emerald Insight		Emerald Insight	10.1108/CDI			1362-0436			Journal	Article	2015	Controlled	Regular	Unique_Item_Investigations	1	1	0
Career Development International	Emerald Insight		Emerald Insight	10.1108/CDI			1362-0436			Journal	Article	2015	Controlled	Regular	No_License	1	1	0
Career Development International	Emerald Insight		Emerald Insight	10.1108/CDI			1362-0436			Journal	Article	2021	Controlled	Regular	Total_Item_Investigations	1	1	0
Career Development International	Emerald Insight		Emerald Insight	10.1108/CDI			1362-0436			Journal	Article	2021	Controlled	Regular	Unique_Item_Investigations	1	1	0
Career Development International	Emerald Insight		Emerald Insight	10.1108/CDI			1362-0436			Journal	Article	2021	Controlled	Regular	No_License	1	1	0
Career Development International	Emerald Insight		Emerald Insight	10.1108/CDI			1362-0436			Journal	Article	2023	Controlled	Regular	Total_Item_Investigations	1	1	0
Career Development International	Emerald Insight		Emerald Insight	10.1108/CDI			1362-0436			Journal	Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
Career Development International	Emerald Insight		Emerald Insight	10.1108/CDI			1362-0436			Journal	Article	2023	Controlled	Regular	No_License	1	1	0
