Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	Robertson Library, UPEI
Institution_ID	SN:3000162182
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:02:35Z
Created_By	SpringerNature

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
nature.com	Searches_Platform	23	23	0
nature.com	Unique_Item_Requests	725	725	0
nature.com	Total_Item_Requests	964	964	0
nature.com	Total_Item_Investigations	1269	1269	0
nature.com	Unique_Item_Investigations	990	990	0
SN:ResearchGate	Unique_Item_Requests	83	83	0
SN:ResearchGate	Total_Item_Requests	90	90	0
SN:ResearchGate	Total_Item_Investigations	160	160	0
SN:ResearchGate	Unique_Item_Investigations	146	146	0
SpringerLink	Unique_Item_Requests	1731	1731	0
SpringerLink	Total_Item_Requests	2458	2458	0
SpringerLink	Total_Item_Investigations	2745	2745	0
SpringerLink	Unique_Item_Investigations	1777	1777	0
SpringerLink	Unique_Title_Investigations	538	538	0
SpringerLink	Unique_Item_Requests	174	174	0
SpringerLink	Total_Item_Requests	205	205	0
SpringerLink	Total_Item_Investigations	749	749	0
SpringerLink	Unique_Item_Investigations	615	615	0
SpringerLink	Unique_Title_Requests	149	149	0
SpringerLink	Searches_Platform	49	49	0
SpringerMaterials	Unique_Item_Requests	1	1	0
SpringerMaterials	Total_Item_Requests	2	2	0
SpringerMaterials	Total_Item_Investigations	4	4	0
SpringerMaterials	Searches_Platform	14	14	0
SpringerMaterials	Unique_Item_Investigations	3	3	0
