Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	UNIV OF PRINCE EDWARD ISLAND
Institution_ID	Silverchair:530
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Duke University Press	Unique_Item_Investigations	1	1	0
Duke University Press	Unique_Title_Investigations	1	1	0
Duke University Press	Total_Item_Investigations	1	1	0
Duke University Press	Unique_Item_Investigations	22	22	0
Duke University Press	Total_Item_Investigations	35	35	0
Duke University Press	Total_Item_Requests	14	14	0
Duke University Press	Unique_Item_Requests	8	8	0
