Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	UNIV OF PRINCE EDWARD ISLAND
Institution_ID	Silverchair:530
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Ethnohistory	Duke University Press		Duke University Press		Silverchair:1000016		0014-1801	1527-5477		Total_Item_Investigations	17	17	0
Ethnohistory	Duke University Press		Duke University Press		Silverchair:1000016		0014-1801	1527-5477		No_License	4	4	0
Ethnohistory	Duke University Press		Duke University Press		Silverchair:1000016		0014-1801	1527-5477		Unique_Item_Investigations	10	10	0
Ethnohistory	Duke University Press		Duke University Press		Silverchair:1000016		0014-1801	1527-5477		Total_Item_Requests	13	13	0
Ethnohistory	Duke University Press		Duke University Press		Silverchair:1000016		0014-1801	1527-5477		Unique_Item_Requests	7	7	0
GLQ: A Journal of Lesbian and Gay Studies	Duke University Press		Duke University Press		Silverchair:1000019		1064-2684	1527-9375		No_License	1	1	0
GLQ: A Journal of Lesbian and Gay Studies	Duke University Press		Duke University Press		Silverchair:1000019		1064-2684	1527-9375		Total_Item_Investigations	1	1	0
GLQ: A Journal of Lesbian and Gay Studies	Duke University Press		Duke University Press		Silverchair:1000019		1064-2684	1527-9375		Unique_Item_Investigations	1	1	0
Journal of American Folklore	University of Illinois Press		Duke University Press		Silverchair:1000118		0021-8715	1535-1882		Unique_Item_Investigations	1	1	0
Journal of American Folklore	University of Illinois Press		Duke University Press		Silverchair:1000118		0021-8715	1535-1882		Total_Item_Investigations	2	2	0
Journal of Health Politics, Policy and Law	Duke University Press		Duke University Press		Silverchair:1000002		0361-6878	1527-1927		Unique_Item_Investigations	1	1	0
Journal of Health Politics, Policy and Law	Duke University Press		Duke University Press		Silverchair:1000002		0361-6878	1527-1927		Total_Item_Investigations	2	2	0
Journal of Health Politics, Policy and Law	Duke University Press		Duke University Press		Silverchair:1000002		0361-6878	1527-1927		Unique_Item_Requests	1	1	0
Journal of Health Politics, Policy and Law	Duke University Press		Duke University Press		Silverchair:1000002		0361-6878	1527-1927		Total_Item_Investigations	1	1	0
Journal of Health Politics, Policy and Law	Duke University Press		Duke University Press		Silverchair:1000002		0361-6878	1527-1927		Total_Item_Requests	1	1	0
Journal of Health Politics, Policy and Law	Duke University Press		Duke University Press		Silverchair:1000002		0361-6878	1527-1927		Unique_Item_Investigations	1	1	0
Journal of Medieval and Early Modern Studies	Duke University Press		Duke University Press		Silverchair:1000022		1082-9636	1527-8263		Total_Item_Investigations	3	3	0
Journal of Medieval and Early Modern Studies	Duke University Press		Duke University Press		Silverchair:1000022		1082-9636	1527-8263		No_License	2	2	0
Journal of Medieval and Early Modern Studies	Duke University Press		Duke University Press		Silverchair:1000022		1082-9636	1527-8263		Unique_Item_Investigations	3	3	0
Public Culture	Duke University Press		Duke University Press		Silverchair:1000034		0899-2363	1527-8018		Total_Item_Investigations	1	1	0
Public Culture	Duke University Press		Duke University Press		Silverchair:1000034		0899-2363	1527-8018		No_License	1	1	0
Public Culture	Duke University Press		Duke University Press		Silverchair:1000034		0899-2363	1527-8018		Unique_Item_Investigations	1	1	0
Public Culture	Duke University Press		Duke University Press		Silverchair:1000034		0899-2363	1527-8018		Unique_Item_Investigations	2	2	0
Public Culture	Duke University Press		Duke University Press		Silverchair:1000034		0899-2363	1527-8018		No_License	2	2	0
Public Culture	Duke University Press		Duke University Press		Silverchair:1000034		0899-2363	1527-8018		Total_Item_Investigations	2	2	0
Social Text	Duke University Press		Duke University Press		Silverchair:1000001		0164-2472	1527-1951		No_License	2	2	0
Social Text	Duke University Press		Duke University Press		Silverchair:1000001		0164-2472	1527-1951		Unique_Item_Investigations	1	1	0
Social Text	Duke University Press		Duke University Press		Silverchair:1000001		0164-2472	1527-1951		Total_Item_Investigations	4	4	0
The Journal of Speculative Philosophy	Penn State University Press		Duke University Press		Silverchair:1000205		0891-625X	1527-9383		Total_Item_Investigations	2	2	0
The Journal of Speculative Philosophy	Penn State University Press		Duke University Press		Silverchair:1000205		0891-625X	1527-9383		Unique_Item_Investigations	1	1	0
The Queer Art of Failure	Duke University Press		Duke University Press	10.1215/9780822394358	Silverchair:1581	978-0-8223-5028-6				Unique_Item_Investigations	1	1	0
The Queer Art of Failure	Duke University Press		Duke University Press	10.1215/9780822394358	Silverchair:1581	978-0-8223-5028-6				Total_Item_Investigations	1	1	0
The Queer Art of Failure	Duke University Press		Duke University Press	10.1215/9780822394358	Silverchair:1581	978-0-8223-5028-6				Unique_Title_Investigations	1	1	0
