Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	ProQuest:14670
Metric_Types	
Report_Filters	Platform=ProQuest
Report_Attributes	
Exceptions	3040: Partial Data Returned. (Usage data has not been processed for all requested months.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:53:39Z
Created_By	ProQuest

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Academic Video Online	ProQuest		ProQuest	Proquest:avon	Searches_Regular	75	47	28
Agriculture Science Database	ProQuest		ProQuest	Proquest:agriculturejournals	No_License	1	1	0
Alt-PressWatch	ProQuest		ProQuest	Proquest:altpresswatch	No_License	2	2	0
Aquatic Science & Fisheries Abstracts (ASFA) 1: Biological Sciences & Living Resources	ProQuest		ProQuest	Proquest:asfabiological	Searches_Regular	83	52	31
Aquatic Science & Fisheries Abstracts (ASFA) 2: Ocean Technology, Policy & Non-Living Resources	ProQuest		ProQuest	Proquest:asfaocean	Searches_Regular	83	52	31
Aquatic Science & Fisheries Abstracts (ASFA) 2: Ocean Technology, Policy & Non-Living Resources	ProQuest		ProQuest	Proquest:asfaocean	Total_Item_Investigations	2	1	1
Aquatic Science & Fisheries Abstracts (ASFA) 2: Ocean Technology, Policy & Non-Living Resources	ProQuest		ProQuest	Proquest:asfaocean	Unique_Item_Investigations	2	1	1
Aquatic Science & Fisheries Abstracts (ASFA) 2: Ocean Technology, Policy & Non-Living Resources	ProQuest		ProQuest	Proquest:asfaocean	Total_Item_Requests	1	0	1
Aquatic Science & Fisheries Abstracts (ASFA) 2: Ocean Technology, Policy & Non-Living Resources	ProQuest		ProQuest	Proquest:asfaocean	Unique_Item_Requests	1	0	1
Aquatic Science & Fisheries Abstracts (ASFA) 3: Aquatic Pollution & Environmental Quality	ProQuest		ProQuest	Proquest:asfaaquaticpollution	Searches_Regular	83	52	31
Aquatic Science & Fisheries Abstracts (ASFA) Aquaculture Abstracts	ProQuest		ProQuest	Proquest:asfaaquaculture	Searches_Regular	83	52	31
Aquatic Science & Fisheries Abstracts (ASFA) Aquaculture Abstracts	ProQuest		ProQuest	Proquest:asfaaquaculture	Total_Item_Investigations	2	0	2
Aquatic Science & Fisheries Abstracts (ASFA) Aquaculture Abstracts	ProQuest		ProQuest	Proquest:asfaaquaculture	Unique_Item_Investigations	1	0	1
Aquatic Science & Fisheries Abstracts (ASFA) Marine Biotechnology Abstracts	ProQuest		ProQuest	Proquest:asfamarine	Searches_Regular	83	52	31
ASFA: Aquatic Sciences and Fisheries Abstracts	ProQuest		ProQuest	Proquest:asfa	Searches_Regular	83	52	31
Biological Science Database	ProQuest		ProQuest	Proquest:biologicalscijournals	No_License	1	0	1
Canadian Business & Current Affairs Database	ProQuest		ProQuest	Proquest:cbcacomplete	Searches_Regular	115	77	38
Canadian Business & Current Affairs Database: Business	ProQuest		ProQuest	Proquest:cbcacompletebusiness	Total_Item_Investigations	15	12	3
Canadian Business & Current Affairs Database: Business	ProQuest		ProQuest	Proquest:cbcacompletebusiness	Total_Item_Requests	15	12	3
Canadian Business & Current Affairs Database: Business	ProQuest		ProQuest	Proquest:cbcacompletebusiness	Unique_Item_Investigations	12	11	1
Canadian Business & Current Affairs Database: Business	ProQuest		ProQuest	Proquest:cbcacompletebusiness	Unique_Item_Requests	12	11	1
Canadian Business & Current Affairs Database: Health & Medicine	ProQuest		ProQuest	Proquest:cbcacompletehealth	Total_Item_Investigations	18	6	12
Canadian Business & Current Affairs Database: Health & Medicine	ProQuest		ProQuest	Proquest:cbcacompletehealth	Total_Item_Requests	17	5	12
Canadian Business & Current Affairs Database: Health & Medicine	ProQuest		ProQuest	Proquest:cbcacompletehealth	Unique_Item_Investigations	12	6	6
Canadian Business & Current Affairs Database: Health & Medicine	ProQuest		ProQuest	Proquest:cbcacompletehealth	Unique_Item_Requests	11	5	6
Canadian Business & Current Affairs Database: History	ProQuest		ProQuest	Proquest:cbcacompletehistory	Total_Item_Investigations	38	19	19
Canadian Business & Current Affairs Database: History	ProQuest		ProQuest	Proquest:cbcacompletehistory	Total_Item_Requests	33	14	19
Canadian Business & Current Affairs Database: History	ProQuest		ProQuest	Proquest:cbcacompletehistory	Unique_Item_Investigations	31	15	16
Canadian Business & Current Affairs Database: History	ProQuest		ProQuest	Proquest:cbcacompletehistory	Unique_Item_Requests	27	11	16
Canadian Business & Current Affairs Database: History	ProQuest		ProQuest	Proquest:cbcacompletehistory	Total_Item_Investigations	16	13	3
Canadian Business & Current Affairs Database: History	ProQuest		ProQuest	Proquest:cbcacompletehistory	Total_Item_Requests	14	11	3
