Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sagepub:21063
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Access_Method|Data_Type
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:00:45Z
Created_By	Sage Publishing SecureCenter

Platform	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Sage Knowledge	Book	Regular	Total_Item_Investigations	112	77	35
Sage Knowledge	Book	Regular	Total_Item_Requests	65	45	20
Sage Knowledge	Book	Regular	Unique_Item_Investigations	61	39	22
Sage Knowledge	Book	Regular	Unique_Item_Requests	38	23	15
Sage Knowledge	Book	Regular	Unique_Title_Investigations	45	27	18
Sage Knowledge	Book	Regular	Unique_Title_Requests	23	12	11
Sage Knowledge	Platform	Regular	Searches_Platform	20	20	0
Sage Research Methods	Book	Regular	Total_Item_Investigations	51	19	32
Sage Research Methods	Book	Regular	Total_Item_Requests	41	14	27
Sage Research Methods	Book	Regular	Unique_Item_Investigations	22	10	12
Sage Research Methods	Book	Regular	Unique_Item_Requests	16	6	10
Sage Research Methods	Book	Regular	Unique_Title_Investigations	14	10	4
Sage Research Methods	Book	Regular	Unique_Title_Requests	8	6	2
Sage Research Methods	Multimedia	Regular	Total_Item_Investigations	2	2	0
Sage Research Methods	Multimedia	Regular	Total_Item_Requests	2	2	0
Sage Research Methods	Multimedia	Regular	Unique_Item_Investigations	2	2	0
Sage Research Methods	Multimedia	Regular	Unique_Item_Requests	2	2	0
Sage Research Methods	Platform	Regular	Searches_Platform	23	16	7
