Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	
Metric_Types	
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:51:47Z
Created_By	NewsBank Inc.

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
NewsBank	Searches_Platform	104	104	0
NewsBank	Total_Item_Requests	156	156	0
NewsBank	Unique_Item_Requests	140	140	0
NewsBank	Total_Item_Investigations	228	228	0
NewsBank	Unique_Item_Investigations	211	211	0
NewsBank	Searches_Platform	421	0	421
NewsBank	Total_Item_Requests	147	0	147
NewsBank	Unique_Item_Requests	120	0	120
NewsBank	Total_Item_Investigations	286	0	286
NewsBank	Unique_Item_Investigations	242	0	242
