Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	UPEI
Institution_ID	Gale:otta0998
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:43:28Z
Created_By	Gale

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Eighteenth Century Collections Online 1	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ECCO-ALL	Searches_Regular	2	0	2
Eighteenth Century Collections Online 1	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ECCO-ALL	Total_Item_Investigations	4	4	0
Eighteenth Century Collections Online 1	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ECCO-ALL	Total_Item_Requests	4	4	0
Eighteenth Century Collections Online 1	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ECCO-ALL	Unique_Item_Investigations	3	3	0
Eighteenth Century Collections Online 1	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ECCO-ALL	Unique_Item_Requests	3	3	0
Eighteenth Century Collections Online 1	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ECCO-ALL	Unique_Title_Investigations	3	3	0
Eighteenth Century Collections Online 1	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ECCO-ALL	Unique_Title_Requests	3	3	0
Gale Academic OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:AONE	Searches_Regular	181	80	101
Gale Academic OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:AONE	Total_Item_Investigations	331	116	215
Gale Academic OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:AONE	Total_Item_Requests	329	114	215
Gale Academic OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:AONE	Unique_Item_Investigations	279	97	182
Gale Academic OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:AONE	Unique_Item_Requests	278	96	182
Gale Academic OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:AONE	Total_Item_Investigations	35	12	23
Gale Academic OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:AONE	Total_Item_Requests	35	12	23
Gale Academic OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:AONE	Unique_Item_Investigations	28	11	17
Gale Academic OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:AONE	Unique_Item_Requests	28	11	17
Gale Academic OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:AONE	Total_Item_Investigations	5	3	2
Gale Academic OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:AONE	Total_Item_Requests	5	3	2
Gale Academic OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:AONE	Unique_Item_Investigations	5	3	2
Gale Academic OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:AONE	Unique_Item_Requests	5	3	2
Gale Business: Insights	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GBIB	Searches_Regular	63	47	16
Gale Business: Insights	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GBIB	Total_Item_Investigations	29	7	22
Gale Business: Insights	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GBIB	Total_Item_Requests	28	7	21
Gale Business: Insights	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GBIB	Unique_Item_Investigations	26	5	21
Gale Business: Insights	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GBIB	Unique_Item_Requests	25	5	20
Gale Business: Insights	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GBIB	Total_Item_Investigations	1	0	1
Gale Business: Insights	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GBIB	Total_Item_Requests	1	0	1
Gale Business: Insights	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GBIB	Unique_Item_Investigations	1	0	1
Gale Business: Insights	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GBIB	Unique_Item_Requests	1	0	1
Gale Business: Insights	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GBIB	Total_Item_Investigations	1	1	0
Gale Business: Insights	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GBIB	Total_Item_Requests	1	1	0
Gale Business: Insights	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GBIB	Unique_Item_Investigations	1	1	0
Gale Business: Insights	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GBIB	Unique_Item_Requests	1	1	0
Gale Business: Insights	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GBIB	Total_Item_Investigations	49	34	15
Gale Business: Insights	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GBIB	Total_Item_Requests	49	34	15
