Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:03:08Z
Created_By	Statista

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Advertising & Media Insights	Statista		Statista.com:xmo	sen:amo	Searches_Regular	294	182	112
Company Insights	Statista		Statista.com:cdb	sen:cdb	Total_Item_Requests	11	3	8
Company Insights	Statista		Statista.com:cdb	sen:cdb	Total_Item_Investigations	11	3	8
Company Insights	Statista		Statista.com:cdb	sen:cdb	Unique_Item_Requests	7	1	6
Company Insights	Statista		Statista.com:cdb	sen:cdb	Unique_Item_Investigations	7	1	6
Company Insights	Statista		Statista.com:cdb	sen:cdb	Searches_Regular	17	7	10
Consumer Market Insights	Statista		Statista.com:xmo	sen:cmo	Total_Item_Requests	2	1	1
Consumer Market Insights	Statista		Statista.com:xmo	sen:cmo	Total_Item_Investigations	2	1	1
Consumer Market Insights	Statista		Statista.com:xmo	sen:cmo	Unique_Item_Requests	2	1	1
Consumer Market Insights	Statista		Statista.com:xmo	sen:cmo	Unique_Item_Investigations	2	1	1
Consumer Market Insights	Statista		Statista.com:xmo	sen:cmo	Searches_Regular	294	182	112
Country Insights	Statista		Statista.com:xmo	sen:co	Searches_Regular	294	182	112
Digital Market Insights	Statista		Statista.com:xmo	sen:dmo	Total_Item_Requests	12	8	4
Digital Market Insights	Statista		Statista.com:xmo	sen:dmo	Total_Item_Investigations	12	8	4
Digital Market Insights	Statista		Statista.com:xmo	sen:dmo	Unique_Item_Requests	7	4	3
Digital Market Insights	Statista		Statista.com:xmo	sen:dmo	Unique_Item_Investigations	7	4	3
Digital Market Insights	Statista		Statista.com:xmo	sen:dmo	Searches_Regular	294	182	112
Health Market Insights	Statista		Statista.com:xmo	sen:hmo	Searches_Regular	294	182	112
Industry Insights	Statista		Statista.com:xmo	sen:io	Searches_Regular	294	182	112
Infographic Image	Statista		Statista.com:core	sen:igimg	Total_Item_Investigations	11	5	6
Infographic Image	Statista		Statista.com:core	sen:igimg	Unique_Item_Investigations	10	5	5
Infographic Webpage	Statista		Statista.com:core	sen:igweb	Total_Item_Requests	11	5	6
Infographic Webpage	Statista		Statista.com:core	sen:igweb	Total_Item_Investigations	11	5	6
Infographic Webpage	Statista		Statista.com:core	sen:igweb	Unique_Item_Requests	10	5	5
Infographic Webpage	Statista		Statista.com:core	sen:igweb	Unique_Item_Investigations	10	5	5
Infographic Webpage	Statista		Statista.com:core	sen:igweb	Searches_Regular	294	182	112
Mobility Market Insights	Statista		Statista.com:xmo	sen:mmo	Searches_Regular	294	182	112
Statistic	Statista		Statista.de:core	sde:stat	Total_Item_Requests	1	1	0
Statistic	Statista		Statista.de:core	sde:stat	Total_Item_Investigations	1	1	0
Statistic	Statista		Statista.de:core	sde:stat	Unique_Item_Requests	1	1	0
Statistic	Statista		Statista.de:core	sde:stat	Unique_Item_Investigations	1	1	0
Statistic	Statista		Statista.com:core	sen:stat	Total_Item_Requests	342	169	173
Statistic	Statista		Statista.com:core	sen:stat	Total_Item_Investigations	342	169	173
Statistic	Statista		Statista.com:core	sen:stat	Unique_Item_Requests	288	136	152
Statistic	Statista		Statista.com:core	sen:stat	Unique_Item_Investigations	288	136	152
Statistic	Statista		Statista.com:core	sen:stat	Searches_Regular	303	184	119
Study	Statista		Statista.de:core	sde:study	Total_Item_Requests	1	1	0
Study	Statista		Statista.de:core	sde:study	Total_Item_Investigations	3	2	1
Study	Statista		Statista.de:core	sde:study	Unique_Item_Requests	1	1	0
Study	Statista		Statista.de:core	sde:study	Unique_Item_Investigations	2	1	1
Study	Statista		Statista.com:core	sen:study	Total_Item_Requests	13	4	9
Study	Statista		Statista.com:core	sen:study	Total_Item_Investigations	43	12	31
Study	Statista		Statista.com:core	sen:study	Unique_Item_Requests	12	4	8
Study	Statista		Statista.com:core	sen:study	Unique_Item_Investigations	26	6	20
Study	Statista		Statista.com:core	sen:study	Searches_Regular	303	184	119
Technology Market Insights	Statista		Statista.com:xmo	sen:tmo	Total_Item_Requests	1	1	0
Technology Market Insights	Statista		Statista.com:xmo	sen:tmo	Total_Item_Investigations	1	1	0
Technology Market Insights	Statista		Statista.com:xmo	sen:tmo	Unique_Item_Requests	1	1	0
Technology Market Insights	Statista		Statista.com:xmo	sen:tmo	Unique_Item_Investigations	1	1	0
Technology Market Insights	Statista		Statista.com:xmo	sen:tmo	Searches_Regular	294	182	112
Topic	Statista		Statista.com:core	sen:topic	Total_Item_Requests	50	26	24
Topic	Statista		Statista.com:core	sen:topic	Total_Item_Investigations	50	26	24
Topic	Statista		Statista.com:core	sen:topic	Unique_Item_Requests	44	22	22
Topic	Statista		Statista.com:core	sen:topic	Unique_Item_Investigations	44	22	22
Topic	Statista		Statista.com:core	sen:topic	Searches_Regular	294	182	112
