Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	UNIV OF P E I
Institution_ID	slack:UNIV OF P E I
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2021-03-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:44:06Z
Created_By	Atypon Systems LLC.

Platform	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
slack	Journal	Regular	Unique_Item_Investigations	16	16	0
slack	Journal	Regular	Unique_Item_Requests	9	9	0
slack	Journal	Regular	Total_Item_Requests	13	13	0
slack	Journal	Regular	Total_Item_Investigations	28	28	0
