Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	UNIV OF P E I
Institution_ID	slack:UNIV OF P E I
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2021-03-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:44:06Z
Created_By	Atypon Systems LLC.

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
slack	Total_Item_Requests	13	13	0
slack	Unique_Item_Requests	9	9	0
